Wall time,Step,Value
1620359189,46240,0.848529696
1620359211,46368,0.848493278
1620359234,46496,0.848454833
1620359256,46624,0.848454058
1620359278,46752,0.84846729
1620359323,47008,0.848553061
1620359334,47072,0.848629653
1620359351,47168,0.848583817
1620359368,47264,0.848680556
1620359384,47360,0.848677516
1620359412,47520,0.848799944
1620359519,48128,0.849093258
1620359586,48512,0.849115849
1620359591,48544,0.849153221
1620359608,48640,0.8491925
1620359614,48672,0.849224567
1620359625,48736,0.84921217
1620359636,48800,0.849263728
1620359658,48928,0.849234283
1620359680,49056,0.849177539
1620359708,49216,0.849237621
1620359719,49280,0.849298656
1620359758,49504,0.849326134
1620359803,49760,0.849419415
1620359826,49888,0.849508464
1620359865,50112,0.849619746
1620359870,50144,0.849600375
1620359954,50624,0.849777281
1620359971,50720,0.849801004
1620359987,50816,0.849842846
1620359993,50848,0.849844396
1620360015,50976,0.849688172
1620360026,51040,0.849679768
1620360054,51200,0.849627018
1620360104,51488,0.849772096
1620360127,51616,0.849757135
1620360138,51680,0.849744916
1620360149,51744,0.849723101
1620360171,51872,0.849737525
1620360227,52192,0.849797189
1620360238,52256,0.849798322
1620360249,52320,0.849765837
1620360255,52352,0.849806547
1620360277,52480,0.849832833
1620360294,52576,0.84991616
1620360338,52832,0.850056529
1620360361,52960,0.850144923
1620361134,53408,0.866477251
1620361156,53536,0.855395973
1620361167,53600,0.855277777
1620361194,53760,0.856655836
1620361200,53792,0.856714606
1620361211,53856,0.85693866
1620361227,53952,0.857181549
1620361239,54016,0.858180583
1620361250,54080,0.856294334
1620361255,54112,0.856004059
1620361294,54336,0.854448497
1620361311,54432,0.853654206
1620361338,54592,0.854586065
1620361444,55200,0.853236318
1620361499,55520,0.854851425
1620361532,55712,0.854327142
1620361549,55808,0.854783177
1620361566,55904,0.854722738
1620361583,56000,0.855107129
1620361588,56032,0.85511148
1620361594,56064,0.855220318
1620361654,56416,0.855773211
1620361660,56448,0.855820835
1620361671,56512,0.85583359
1620361743,56928,0.855782092
1620361798,57248,0.856183827
1620361848,57536,0.856021702
1620361943,58080,0.856409431
1620362043,58656,0.856383741
1620362048,58688,0.856407642
1620362059,58752,0.85644877
1620362104,59008,0.856692731
1620362115,59072,0.856678963
1620362137,59200,0.856673837
